beta(degs),distance(m)
-80,0.015636718014688925
-70,0.023853696656900406
-60,0.030031472144767354
-50,0.03435361479917972
-40,0.03726673318449161
-30,0.039176453938283326
-20,0.04036896513816855
-10,0.041021817468219514
0,0.04122959615555352
10,0.041021817468219514
20,0.04036896513816855
30,0.039176453938283326
40,0.03726673318449161
50,0.034353614799179706
60,0.030031472144767334
70,0.0238536966569004
80,0.01563671801468893
