beta(degs),distance(m)
-80,0.03819778590148329
-70,0.04678441292568751
-60,0.05362224023993203
-50,0.05869845991716857
-40,0.062296796534944125
-30,0.0647480816004995
-20,0.06632048764221447
-10,0.06719594576153637
0,0.06747683317218903
10,0.06719594576153637
20,0.06632048764221447
30,0.0647480816004995
40,0.062296796534944125
50,0.05869845991716855
60,0.05362224023993199
70,0.046784412925687496
80,0.0381977859014833
