beta(degs),distance(m)
-80,0.01714843423826685
-70,0.02580449041377384
-60,0.0327732931051389
-50,0.03800798683450655
-40,0.04175762565766616
-30,0.04433312810907222
-20,0.04599503747189269
-10,0.046923834130210756
0,0.04722238186152892
10,0.046923834130210756
20,0.04599503747189268
30,0.04433312810907222
40,0.04175762565766616
50,0.03800798683450654
60,0.03277329310513888
70,0.025804490413773834
80,0.01714843423826686
